N,P,K,temperature,humidity,ph,rainfall,label,zone
22,64,26,16.8,55.4,6.85,32.8,lentil,terai
85,74,73,15.9,69.8,6.63,45.8,cauliflower,hill
52,43,60,19.1,82.5,5.31,203.2,cardamom,hill
82,44,21,25.6,68.9,6.61,107.5,maize,terai
84,55,42,25.4,82.3,6.34,189.2,rice,hill
90,71,79,15.5,66.5,6.52,51.4,cauliflower,hill
57,42,60,17.3,81.2,5.03,214.6,cardamom,hill
79,72,88,17.1,63.9,5.85,41.6,potato,terai
83,67,73,16.9,69.0,6.43,41.1,cauliflower,hill
82,62,43,25.2,81.6,6.2,187.1,rice,hill
86,72,82,21.5,63.0,6.32,65.0,tomato,hill
79,47,23,25.4,63.5,6.31,101.4,maize,hill
84,68,90,16.8,65.4,6.13,49.5,potato,terai
57,43,60,17.3,82.5,5.25,207.3,cardamom,hill
82,70,91,16.9,66.1,5.96,43.6,potato,terai
86,56,41,24.4,82.2,6.36,189.8,rice,hill
93,40,45,26.1,81.4,6.65,226.0,rice,terai
74,49,52,24.5,79.0,5.63,179.6,ginger,hill
21,57,33,15.7,54.4,6.62,26.2,lentil,terai
97,42,34,28.6,84.2,6.62,235.4,rice,terai
74,63,85,13.0,63.8,5.61,48.3,potato,hill
82,41,25,25.6,66.6,6.37,104.8,maize,terai
40,24,25,7.5,42.1,5.6,31.6,barley,mountain
96,40,35,28.3,83.6,6.99,238.7,rice,terai
63,45,28,12.8,52.5,6.26,37.6,wheat,hill
77,67,87,15.7,64.1,6.18,38.7,potato,terai
79,46,20,24.4,65.4,6.15,100.8,maize,hill
45,43,24,14.7,49.0,6.46,23.8,mustard,terai
30,23,21,7.5,46.7,5.49,29.8,buckwheat,mountain
83,72,88,16.4,64.8,6.1,42.2,potato,terai
83,62,44,24.2,79.6,6.35,179.7,rice,hill
32,26,22,6.3,42.9,5.45,29.4,barley,mountain
76,66,82,12.7,61.8,5.45,56.2,potato,hill
35,25,23,6.9,42.5,5.56,18.2,barley,mountain
82,68,71,15.8,69.1,6.66,51.3,cauliflower,hill
74,61,85,12.4,60.6,5.43,61.0,potato,hill
49,37,24,14.9,51.1,6.41,21.2,mustard,terai
86,69,78,15.4,67.7,6.55,40.8,cauliflower,hill
64,45,30,11.8,51.1,6.28,34.7,wheat,hill
26,64,27,17.4,50.9,7.15,26.9,chickpea,terai
40,40,25,14.2,48.3,6.6,23.8,mustard,terai
92,71,80,21.2,65.8,6.56,70.6,tomato,hill
36,37,22,10.8,46.8,6.19,33.6,mustard,hill
91,77,79,20.9,63.1,6.32,71.1,tomato,hill
22,58,30,15.1,55.6,6.76,39.3,lentil,terai
28,27,24,7.1,43.3,5.58,27.2,buckwheat,mountain
46,42,25,15.0,51.6,6.42,22.6,mustard,terai
92,37,37,28.7,83.5,6.79,236.8,rice,terai
62,55,78,7.7,56.0,5.5,35.7,potato,mountain
91,42,40,28.3,83.3,6.76,244.6,rice,terai
86,72,76,19.8,66.1,6.36,67.5,tomato,hill
49,39,22,14.3,48.4,6.38,27.6,mustard,terai
68,48,54,23.2,76.6,5.85,181.9,ginger,hill
84,48,23,26.4,68.0,6.34,107.3,maize,terai
38,35,24,12.4,46.2,6.36,33.3,mustard,hill
75,50,22,25.1,66.9,6.12,99.9,maize,hill
63,49,30,12.7,50.2,6.32,46.2,wheat,hill
67,44,50,22.5,79.6,5.73,173.5,ginger,hill
63,54,82,8.4,55.5,5.47,38.2,potato,mountain
66,48,52,23.7,77.0,5.89,182.3,ginger,hill
69,42,52,24.4,77.1,5.89,182.3,ginger,hill
17,69,29,17.9,53.2,7.09,32.3,chickpea,terai
85,47,18,25.3,69.0,6.63,114.3,maize,terai
19,63,31,15.1,54.1,6.87,32.7,lentil,terai
82,70,78,16.5,69.1,6.63,43.9,cauliflower,hill
38,42,20,11.4,49.5,6.26,31.4,mustard,hill
54,40,57,17.6,83.9,5.22,209.7,cardamom,hill
41,39,23,12.0,48.9,6.36,36.0,mustard,hill
76,47,19,23.6,66.7,6.16,101.1,maize,hill
66,51,35,14.5,54.4,6.99,32.8,wheat,terai
66,42,50,23.3,78.2,5.91,179.4,ginger,hill
64,52,29,11.7,52.2,6.27,35.2,wheat,hill
38,31,27,6.5,42.8,5.44,29.0,barley,mountain
82,48,18,25.7,68.8,6.69,106.2,maize,terai
92,76,83,21.1,63.6,6.39,66.7,tomato,hill
17,61,30,16.7,53.8,6.75,29.0,lentil,terai
20,57,34,16.3,56.2,6.96,31.3,lentil,terai
32,26,22,6.5,41.8,5.52,31.4,barley,mountain
69,50,34,15.5,53.6,6.81,38.4,wheat,terai
29,28,17,7.0,44.9,5.52,26.7,buckwheat,mountain
95,44,45,27.0,80.9,6.68,214.5,rice,terai
51,40,63,17.6,82.5,5.0,207.6,cardamom,hill
81,67,77,15.1,68.9,6.69,45.8,cauliflower,hill
81,51,22,24.4,66.3,6.19,90.2,maize,hill
65,54,38,14.9,53.4,6.77,35.8,wheat,terai
44,38,25,14.5,48.6,6.56,22.1,mustard,terai
89,45,40,27.4,83.4,6.31,219.7,rice,terai
81,72,78,16.2,69.0,6.6,46.4,cauliflower,hill
71,62,82,13.1,63.5,5.51,51.2,potato,hill
70,53,38,14.7,54.7,6.93,36.8,wheat,terai
23,65,27,16.8,50.2,6.83,35.1,chickpea,terai
76,67,82,12.1,61.5,5.48,57.8,potato,hill
21,62,31,18.0,54.0,7.04,23.5,chickpea,terai
86,41,45,27.5,80.5,6.4,227.7,rice,terai
20,65,25,18.2,50.2,7.17,26.1,chickpea,terai
62,50,37,15.4,54.4,6.94,33.6,wheat,terai
35,29,23,7.1,40.6,5.58,20.6,barley,mountain
81,47,25,26.6,68.5,6.43,115.6,maize,terai
50,44,29,14.0,48.4,6.58,24.1,mustard,terai
88,54,38,24.9,79.9,6.39,180.9,rice,hill
83,55,39,23.9,80.1,6.12,186.2,rice,hill
33,26,20,7.7,45.5,5.53,27.0,buckwheat,mountain
19,57,32,16.7,54.7,6.64,37.2,lentil,terai
76,74,92,16.3,64.4,6.1,42.5,potato,terai
80,47,24,25.3,67.8,6.37,110.2,maize,terai
95,40,39,28.9,83.5,6.65,243.7,rice,terai
86,61,40,24.0,79.0,6.09,180.8,rice,hill
74,49,21,24.3,66.2,6.1,89.8,maize,hill
88,71,82,19.6,63.9,6.51,66.5,tomato,hill
55,38,62,17.9,83.9,5.05,205.9,cardamom,hill
71,66,83,12.4,61.8,5.68,60.0,potato,hill
88,55,44,24.4,81.1,6.17,180.5,rice,hill
90,42,34,27.6,85.6,6.9,237.4,rice,terai
73,61,87,12.4,62.2,5.44,57.9,potato,hill
58,42,57,18.5,80.5,5.23,208.9,cardamom,hill
93,42,45,26.0,82.4,6.38,214.5,rice,terai
86,48,24,26.9,67.9,6.61,107.0,maize,terai
26,67,28,17.5,53.7,6.84,24.1,chickpea,terai
47,42,22,13.8,50.3,6.32,26.9,mustard,terai
71,68,81,13.0,61.4,5.7,57.9,potato,hill
80,72,89,17.4,65.4,6.1,51.6,potato,terai
63,50,34,14.9,53.5,6.97,35.3,wheat,terai
45,37,21,11.9,49.8,6.28,28.4,mustard,hill
85,73,83,20.3,63.7,6.42,68.0,tomato,hill
80,67,85,13.8,63.6,5.62,47.5,potato,hill
18,61,27,15.7,56.8,6.69,36.6,lentil,terai
77,73,89,17.3,66.8,6.01,45.0,potato,terai
89,56,43,25.6,81.8,6.13,186.3,rice,hill
81,74,76,16.5,67.6,6.5,45.2,cauliflower,hill
81,67,91,16.5,65.7,5.96,49.5,potato,terai
79,69,82,12.3,60.6,5.53,57.7,potato,hill
61,46,33,12.6,50.2,6.38,44.6,wheat,hill
75,50,23,24.4,66.6,6.19,91.0,maize,hill
21,63,28,16.6,56.6,6.83,28.5,lentil,terai
80,72,76,16.4,69.3,6.34,47.0,cauliflower,hill
98,39,37,28.0,86.1,6.69,237.7,rice,terai
59,41,60,18.2,81.1,5.3,206.3,cardamom,hill
17,57,28,16.1,54.8,6.89,37.8,lentil,terai
80,71,92,16.8,66.4,5.96,46.5,potato,terai
50,41,63,18.7,81.9,5.21,205.2,cardamom,hill
59,46,31,12.7,52.0,6.49,35.8,wheat,hill
60,52,34,15.7,56.9,6.82,29.4,wheat,terai
55,43,62,18.6,80.1,5.2,210.6,cardamom,hill
25,66,28,16.6,52.0,6.9,32.3,chickpea,terai
69,54,35,14.8,56.2,6.69,36.5,wheat,terai
91,42,40,28.2,86.7,6.78,234.3,rice,terai
80,63,88,13.3,61.4,5.79,60.1,potato,hill
40,40,23,12.4,49.0,6.38,25.3,mustard,hill
73,62,88,12.8,63.0,5.69,59.9,potato,hill
67,48,52,22.5,77.4,5.89,177.8,ginger,hill
83,67,74,15.3,67.6,6.42,37.9,cauliflower,hill
29,24,22,6.9,45.4,5.3,33.8,buckwheat,mountain
38,38,23,12.3,47.2,6.14,31.8,mustard,hill
33,32,26,7.2,43.4,5.37,24.2,barley,mountain
36,41,25,11.7,48.1,6.21,33.7,mustard,hill
32,21,17,7.8,45.3,5.42,26.3,buckwheat,mountain
94,78,77,19.8,66.3,6.26,62.7,tomato,hill
70,62,83,13.3,60.5,5.41,61.0,potato,hill
25,66,30,16.7,52.8,7.11,34.6,chickpea,terai
23,61,25,18.0,52.0,7.09,30.6,chickpea,terai
52,44,56,18.3,83.6,5.35,215.5,cardamom,hill
68,41,53,23.9,79.6,5.96,178.1,ginger,hill
71,44,52,23.1,79.2,5.99,186.0,ginger,hill
61,50,34,14.8,56.7,6.64,40.4,wheat,terai
92,75,80,21.4,66.4,6.29,69.9,tomato,hill
24,66,29,16.8,52.3,6.85,27.7,chickpea,terai
78,49,19,25.4,69.8,6.31,117.0,maize,terai
66,51,37,16.1,54.9,6.7,35.7,wheat,terai
82,61,42,24.7,80.6,6.31,191.8,rice,hill
65,55,36,14.6,56.8,6.78,31.8,wheat,terai
43,39,25,13.9,49.7,6.67,31.2,mustard,terai
22,65,28,17.5,53.4,7.01,31.0,chickpea,terai
64,59,82,7.9,54.0,5.33,34.7,potato,mountain
81,42,20,25.8,66.9,6.39,111.7,maize,terai
76,67,84,13.2,60.3,5.74,58.5,potato,hill
47,40,22,13.6,50.4,6.68,21.2,mustard,terai
42,42,22,12.2,48.8,6.34,33.8,mustard,hill
63,50,39,14.8,54.4,6.99,37.4,wheat,terai
16,60,32,15.8,54.0,6.92,26.8,lentil,terai
27,68,29,18.0,51.6,6.95,26.3,chickpea,terai
80,62,82,12.3,60.6,5.54,53.0,potato,hill
75,43,51,23.9,79.3,5.76,176.2,ginger,hill
93,40,39,27.4,83.4,6.95,237.7,rice,terai
82,46,25,25.9,69.1,6.64,117.2,maize,terai
77,69,89,16.3,64.5,5.87,52.2,potato,terai
86,47,23,25.4,69.3,6.35,104.4,maize,terai
67,46,48,22.8,77.4,5.65,183.0,ginger,hill
82,46,24,26.7,67.7,6.38,107.8,maize,terai
25,63,33,16.7,54.3,6.9,37.6,lentil,terai
81,56,43,24.4,81.5,6.18,192.4,rice,hill
23,65,26,17.1,51.7,6.82,34.1,chickpea,terai
31,23,19,6.8,45.0,5.58,35.3,buckwheat,mountain
61,58,78,9.4,54.4,5.25,31.1,potato,mountain
64,52,81,8.2,56.7,5.55,39.0,potato,mountain
79,45,22,23.6,66.9,6.19,92.2,maize,hill
36,30,26,6.5,40.0,5.69,23.6,barley,mountain
26,25,17,6.6,44.1,5.54,21.1,buckwheat,mountain
76,51,17,23.9,64.2,6.27,90.3,maize,hill
78,46,25,26.7,66.9,6.48,107.9,maize,terai
20,59,34,16.2,53.5,6.66,24.9,lentil,terai
80,71,78,15.7,68.5,6.5,47.6,cauliflower,hill
62,52,28,13.1,50.1,6.45,37.9,wheat,hill
80,68,89,12.1,60.9,5.47,47.9,potato,hill
77,72,89,15.8,66.9,5.9,40.7,potato,terai
53,36,57,17.3,83.0,5.38,208.6,cardamom,hill
80,46,23,25.2,66.3,6.47,104.2,maize,terai
58,50,35,13.1,52.6,6.22,49.0,wheat,hill
97,38,36,28.3,86.0,6.83,246.3,rice,terai
62,53,82,8.7,53.8,5.52,34.1,potato,mountain
78,66,82,12.2,62.6,5.69,53.6,potato,hill
17,57,30,17.0,55.3,6.88,38.2,lentil,terai
91,75,84,20.6,64.5,6.31,68.1,tomato,hill
77,49,21,23.8,64.0,6.13,94.8,maize,hill
87,67,78,15.2,69.4,6.52,50.4,cauliflower,hill
70,47,47,23.7,77.8,5.78,173.0,ginger,hill
95,43,38,29.1,84.2,6.85,233.8,rice,terai
69,49,33,16.0,56.2,6.99,36.3,wheat,terai
63,51,81,8.3,54.4,5.52,40.6,potato,mountain
60,53,39,14.4,55.9,6.99,37.6,wheat,terai
56,37,57,18.9,81.8,5.22,217.1,cardamom,hill
63,46,35,11.7,52.6,6.26,35.6,wheat,hill
55,41,60,18.3,83.4,5.07,215.0,cardamom,hill
38,40,21,12.8,48.8,6.1,36.1,mustard,hill
93,78,80,20.0,66.1,6.56,65.5,tomato,hill
85,41,45,26.3,81.6,6.59,219.8,rice,terai
64,52,83,8.8,53.1,5.31,30.7,potato,mountain
85,57,38,24.3,82.1,6.18,186.5,rice,hill
84,73,89,16.6,63.6,5.95,42.0,potato,terai
92,71,77,20.6,65.1,6.33,65.1,tomato,hill
87,45,40,25.8,84.1,6.34,214.6,rice,terai
79,71,91,15.6,66.5,6.05,38.7,potato,terai
78,49,21,25.2,63.6,6.09,93.0,maize,hill
71,64,81,13.7,60.1,5.52,50.4,potato,hill
68,42,52,22.8,78.6,5.94,177.1,ginger,hill
73,51,20,24.6,65.9,6.34,100.1,maize,hill
90,56,40,24.2,79.6,6.28,184.0,rice,hill
73,51,18,23.6,66.8,6.26,93.9,maize,hill
45,39,23,14.1,50.8,6.68,29.3,mustard,terai
52,37,58,17.4,81.4,5.18,209.1,cardamom,hill
84,71,75,15.4,67.3,6.37,40.4,cauliflower,hill
79,67,91,16.0,63.3,5.84,37.6,potato,terai
70,52,80,7.6,54.0,5.39,39.8,potato,mountain
58,42,62,18.6,80.9,5.35,208.5,cardamom,hill
81,67,74,15.7,68.8,6.39,43.5,cauliflower,hill
76,63,82,12.5,63.2,5.74,60.1,potato,hill
40,37,25,15.5,51.6,6.42,21.9,mustard,terai
84,67,89,17.0,64.3,6.14,52.3,potato,terai
55,45,28,11.7,51.2,6.42,35.3,wheat,hill
74,42,52,23.5,77.4,5.74,176.3,ginger,hill
85,55,38,25.6,81.5,6.24,185.3,rice,hill
78,44,21,25.2,69.9,6.32,115.4,maize,terai
95,38,35,28.5,85.6,6.94,235.5,rice,terai
42,38,24,12.7,49.6,6.21,24.5,mustard,hill
24,65,26,17.6,50.1,7.17,24.8,chickpea,terai
42,41,25,11.1,48.3,6.05,22.8,mustard,hill
48,43,27,15.2,49.8,6.34,20.8,mustard,terai
18,65,25,18.2,52.1,6.94,22.0,chickpea,terai
81,57,43,23.9,82.5,6.2,183.1,rice,hill
88,43,46,26.9,83.3,6.67,222.8,rice,terai
96,38,40,28.0,86.7,6.76,233.0,rice,terai
99,44,35,29.2,85.2,6.71,235.3,rice,terai
91,78,83,20.8,66.2,6.5,68.3,tomato,hill
71,63,88,12.1,63.3,5.58,52.4,potato,hill
24,63,27,15.3,56.8,6.61,28.8,lentil,terai
75,43,51,23.5,79.1,6.0,176.9,ginger,hill
24,57,33,15.7,55.7,6.65,30.7,lentil,terai
41,40,25,15.3,50.3,6.51,25.4,mustard,terai
24,61,28,15.3,54.3,6.67,27.9,lentil,terai
78,67,90,15.9,64.9,5.83,44.0,potato,terai
82,56,41,24.6,82.1,6.13,181.3,rice,hill
48,38,29,14.0,49.5,6.35,23.9,mustard,terai
37,39,23,12.4,49.5,6.12,34.6,mustard,hill
32,25,18,6.4,44.7,5.49,22.0,buckwheat,mountain
39,37,18,11.7,46.8,6.28,30.3,mustard,hill
35,26,28,7.2,40.7,5.52,23.0,barley,mountain
39,40,26,11.4,47.0,6.06,26.5,mustard,hill
36,29,22,7.0,41.4,5.32,32.0,barley,mountain
86,72,77,15.4,69.9,6.55,37.7,cauliflower,hill
36,35,21,11.7,48.9,6.3,31.5,mustard,hill
93,41,38,27.2,86.1,6.71,237.5,rice,terai
42,38,26,11.7,46.2,6.27,31.5,mustard,hill
53,38,61,18.8,83.4,5.06,206.2,cardamom,hill
63,46,31,12.8,52.7,6.32,43.6,wheat,hill
90,37,42,28.8,86.0,6.68,237.2,rice,terai
60,55,38,14.9,56.5,6.72,36.2,wheat,terai
69,54,77,9.2,54.0,5.51,29.4,potato,mountain
29,23,17,7.2,45.0,5.24,33.9,buckwheat,mountain
76,47,19,24.1,65.4,6.34,94.2,maize,hill
67,55,83,9.2,56.3,5.25,31.3,potato,mountain
92,37,42,28.7,85.9,6.96,235.9,rice,terai
77,62,87,13.2,60.3,5.49,58.4,potato,hill
92,42,41,26.0,80.6,6.36,217.6,rice,terai
68,48,49,23.5,79.2,5.83,177.7,ginger,hill
61,47,34,13.1,53.1,6.48,40.7,wheat,hill
44,37,25,14.4,49.1,6.58,20.9,mustard,terai
31,31,26,5.7,43.6,5.58,32.5,barley,mountain
32,32,22,6.0,41.1,5.41,21.9,barley,mountain
51,39,58,17.8,82.7,5.0,211.7,cardamom,hill
83,47,24,26.4,66.1,6.5,110.9,maize,terai
38,28,28,7.4,42.7,5.35,17.6,barley,mountain
65,49,36,14.4,53.7,6.92,28.4,wheat,terai
17,61,27,16.9,53.3,6.89,34.6,lentil,terai
91,45,47,26.9,81.1,6.59,226.5,rice,terai
37,25,23,7.4,41.6,5.44,31.6,barley,mountain
78,48,19,24.4,64.0,6.19,101.6,maize,hill
85,72,87,15.6,63.5,5.88,47.2,potato,terai
84,67,75,16.8,69.8,6.63,37.7,cauliflower,hill
81,61,42,25.1,80.7,6.32,180.3,rice,hill
23,60,29,15.9,54.2,6.75,31.2,lentil,terai
24,62,31,16.7,52.2,7.17,27.6,chickpea,terai
75,64,85,12.6,60.4,5.53,51.2,potato,hill
62,56,77,9.5,54.1,5.46,41.8,potato,mountain
68,53,76,7.9,55.0,5.5,38.1,potato,mountain
90,42,41,25.9,83.3,6.36,221.5,rice,terai
81,47,20,25.9,68.3,6.65,104.7,maize,terai
62,51,32,13.4,51.7,6.28,42.8,wheat,hill
85,45,21,26.5,69.7,6.51,106.8,maize,terai
76,51,23,25.0,63.8,6.05,96.0,maize,hill
93,41,46,27.4,82.6,6.33,220.7,rice,terai
18,66,27,17.9,52.4,7.0,35.1,chickpea,terai
76,69,92,16.9,64.8,6.0,39.1,potato,terai
80,42,18,25.9,69.5,6.37,110.9,maize,terai
44,34,25,12.1,48.4,6.02,23.8,mustard,hill
28,21,19,7.6,45.9,5.33,23.9,buckwheat,mountain
31,24,23,6.8,43.7,5.42,23.8,buckwheat,mountain
42,35,23,12.8,49.6,6.15,37.3,mustard,hill
37,31,26,6.9,41.0,5.46,28.5,barley,mountain
75,68,86,12.8,60.5,5.53,61.1,potato,hill
68,51,34,15.3,55.9,6.77,28.8,wheat,terai
87,44,42,26.1,81.3,6.44,216.6,rice,terai
34,24,18,6.7,43.3,5.3,26.5,buckwheat,mountain
60,47,35,13.0,52.3,6.26,39.0,wheat,hill
61,52,34,15.2,55.9,6.65,33.2,wheat,terai
85,76,82,19.8,65.0,6.49,64.0,tomato,hill
32,27,20,7.4,45.3,5.34,21.9,buckwheat,mountain
84,72,94,16.4,66.0,6.08,43.2,potato,terai
33,25,23,7.6,45.9,5.55,32.3,buckwheat,mountain
87,72,78,20.0,64.0,6.51,68.2,tomato,hill
67,50,35,14.8,54.6,6.93,30.6,wheat,terai
30,30,21,6.6,41.2,5.49,31.3,barley,mountain
18,63,26,16.5,56.2,6.8,28.5,lentil,terai
94,43,41,27.5,82.5,6.52,217.9,rice,terai
81,47,22,25.1,64.0,6.36,95.7,maize,hill
91,42,43,26.6,80.3,6.68,222.1,rice,terai
31,24,23,7.1,41.5,5.64,21.9,barley,mountain
77,72,86,16.0,63.0,6.05,48.2,potato,terai
23,60,31,16.4,54.5,6.97,33.3,lentil,terai
69,54,33,14.5,54.2,6.7,30.5,wheat,terai
85,62,43,24.5,80.5,6.28,185.9,rice,hill
73,42,50,22.9,79.7,5.85,181.8,ginger,hill
38,37,21,11.3,46.4,6.04,34.4,mustard,hill
41,40,18,10.8,47.2,6.29,36.6,mustard,hill
67,42,52,22.6,77.0,5.85,187.5,ginger,hill
64,52,37,15.8,56.0,6.96,28.3,wheat,terai
92,37,36,28.1,85.3,6.73,235.2,rice,terai
58,40,59,18.3,83.8,5.24,213.7,cardamom,hill
55,44,61,17.2,81.5,5.38,206.7,cardamom,hill
77,46,22,25.7,66.4,6.45,105.2,maize,terai
40,40,27,15.4,51.3,6.34,21.2,mustard,terai
84,69,73,16.1,66.3,6.6,41.5,cauliflower,hill
67,55,78,7.7,53.7,5.42,31.2,potato,mountain
86,73,80,19.6,66.4,6.22,59.8,tomato,hill
19,61,27,15.1,55.5,6.96,31.4,lentil,terai
57,50,29,11.9,51.0,6.53,43.6,wheat,hill
86,78,79,21.3,63.3,6.46,61.1,tomato,hill
67,56,78,7.7,56.0,5.22,27.9,potato,mountain
45,38,26,14.7,48.7,6.64,21.5,mustard,terai
66,45,50,23.1,76.2,5.61,176.0,ginger,hill
87,42,41,26.3,83.8,6.43,223.3,rice,terai
83,57,39,24.8,79.5,6.06,187.0,rice,hill
81,45,21,25.6,69.6,6.52,114.3,maize,terai
56,41,61,18.2,83.0,5.05,207.8,cardamom,hill
80,74,89,17.4,65.5,6.16,48.2,potato,terai
95,42,41,28.1,84.5,6.79,235.5,rice,terai
39,30,26,6.4,40.4,5.69,25.4,barley,mountain
93,77,80,21.3,63.9,6.24,71.2,tomato,hill
44,40,22,13.6,48.3,6.64,19.9,mustard,terai
93,79,77,19.9,65.1,6.47,58.1,tomato,hill
25,62,26,16.7,50.9,7.11,24.5,chickpea,terai
77,48,22,23.7,63.4,6.34,91.3,maize,hill
37,39,19,12.5,46.5,6.23,34.9,mustard,hill
35,24,17,6.5,46.4,5.55,34.9,buckwheat,mountain
50,37,22,14.8,48.5,6.47,17.9,mustard,terai
78,45,18,24.3,66.7,6.2,88.8,maize,hill
82,56,43,25.3,79.2,6.24,183.7,rice,hill
88,71,79,20.2,63.9,6.26,69.8,tomato,hill
33,28,21,5.7,40.8,5.61,18.0,barley,mountain
64,50,36,14.9,53.3,6.66,37.0,wheat,terai
93,43,44,27.3,81.6,6.38,223.4,rice,terai
20,57,31,16.0,53.1,6.82,30.1,lentil,terai
72,47,52,23.7,76.8,5.76,187.3,ginger,hill
90,74,78,21.0,65.4,6.31,68.1,tomato,hill
32,32,23,6.4,43.4,5.68,27.1,barley,mountain
93,41,38,28.2,85.1,6.89,236.1,rice,terai
45,36,23,11.1,49.6,6.14,29.1,mustard,hill
86,62,39,24.5,79.9,6.28,180.7,rice,hill
18,65,28,18.1,51.0,6.98,29.0,chickpea,terai
76,51,23,23.5,67.3,6.3,101.1,maize,hill
34,28,22,6.5,42.7,5.47,31.1,barley,mountain
76,73,92,16.2,64.2,5.92,47.4,potato,terai
34,23,20,7.7,45.2,5.38,24.8,buckwheat,mountain
64,52,34,14.7,56.3,6.65,29.8,wheat,terai
98,40,40,28.6,86.8,6.93,234.3,rice,terai
35,27,23,6.7,44.9,5.39,20.8,buckwheat,mountain
72,49,52,23.1,78.8,5.88,186.9,ginger,hill
68,49,33,14.6,56.1,6.62,31.6,wheat,terai
30,25,21,7.5,44.6,5.34,23.7,buckwheat,mountain
66,50,35,15.4,54.4,6.98,39.6,wheat,terai
31,23,24,6.9,43.6,5.22,28.9,buckwheat,mountain
30,26,20,6.5,44.5,5.34,23.9,buckwheat,mountain
82,50,21,24.3,66.0,6.24,99.2,maize,hill
37,37,24,12.2,47.1,6.24,25.9,mustard,hill
17,57,33,15.3,53.3,6.68,25.1,lentil,terai
67,56,36,15.4,55.7,6.63,28.2,wheat,terai
78,67,84,12.2,60.3,5.69,54.9,potato,hill
18,68,31,18.4,53.8,6.96,30.9,chickpea,terai
38,24,28,6.7,42.9,5.48,23.7,barley,mountain
22,58,26,15.2,53.8,6.77,34.7,lentil,terai
32,24,16,6.9,44.9,5.33,26.5,buckwheat,mountain
88,78,80,20.7,66.0,6.52,62.7,tomato,hill
84,54,42,24.4,78.6,6.24,192.0,rice,hill
82,67,91,17.1,66.4,6.0,45.2,potato,terai
80,45,24,26.2,69.6,6.31,105.4,maize,terai
18,61,29,16.0,54.2,6.9,35.7,lentil,terai
57,41,60,19.1,82.6,5.16,216.3,cardamom,hill
69,55,37,15.0,56.1,6.91,33.5,wheat,terai
58,43,56,18.3,83.8,5.02,214.8,cardamom,hill
77,63,85,13.5,63.5,5.65,59.5,potato,hill
38,29,25,7.4,42.4,5.59,23.5,barley,mountain
81,69,89,17.4,66.4,5.89,47.5,potato,terai
71,67,88,13.2,63.3,5.58,52.0,potato,hill
70,43,46,24.2,77.1,5.97,177.1,ginger,hill
44,39,25,11.4,49.7,6.03,25.0,mustard,hill
81,54,41,24.1,80.0,6.28,191.7,rice,hill
30,27,17,7.0,46.0,5.59,25.5,buckwheat,mountain
63,53,37,14.8,56.8,6.75,37.4,wheat,terai
26,26,18,6.5,44.5,5.58,23.2,buckwheat,mountain
