N,P,K,temperature,humidity,ph,rainfall,label,zone
81,47,25,26.6,68.5,6.43,115.6,maize,terai
67,49,39,14.4,55.4,6.83,40.8,wheat,terai
57,47,28,11.5,50.5,6.48,35.9,wheat,hill
41,38,26,15.5,50.3,6.57,31.4,mustard,terai
41,41,24,11.8,47.4,6.29,22.9,mustard,hill
80,62,82,12.3,60.6,5.54,53,potato,hill
85,74,92,17,64.2,6.17,48.4,potato,terai
67,56,78,7.7,56,5.22,27.9,potato,mountain
39,26,23,7.2,41.7,5.64,27.5,barley,mountain
31,23,22,6.3,45.9,5.36,26,buckwheat,mountain
21,57,33,15.7,54.4,6.62,26.2,lentil,terai
21,62,31,18,54,7.04,23.5,chickpea,terai
67,42,52,22.6,77,5.85,187.5,ginger,hill
52,43,57,17.5,80.1,5.14,213.6,cardamom,hill
91,71,76,20.1,64.2,6.43,66.9,tomato,hill
84,69,79,15.1,66.3,6.52,40.6,cauliflower,hill
93,42,45,26,82.4,6.38,214.5,rice,terai
82,56,43,25.3,79.2,6.24,183.7,rice,hill
96,42,35,27.5,86.9,6.7,233.9,rice,terai
75,50,22,25.1,66.9,6.12,99.9,maize,hill
80,49,25,25.3,67.6,6.33,107.7,maize,terai
66,51,37,16.1,54.9,6.7,35.7,wheat,terai
64,45,30,11.8,51.1,6.28,34.7,wheat,hill
40,40,25,14.2,48.3,6.6,23.8,mustard,terai
39,41,23,11,49.9,6.26,24.8,mustard,hill
75,64,85,12.6,60.4,5.53,51.2,potato,hill
77,67,87,15.7,64.1,6.18,38.7,potato,terai
68,55,79,7.8,54.6,5.28,33.7,potato,mountain
35,29,23,7.1,40.6,5.58,20.6,barley,mountain
32,27,20,7.4,45.3,5.34,21.9,buckwheat,mountain
22,58,26,15.2,53.8,6.77,34.7,lentil,terai
18,64,30,17,52.8,7.16,22,chickpea,terai
69,43,51,24.3,77.5,5.88,176.2,ginger,hill
53,36,57,17.3,83,5.38,208.6,cardamom,hill
94,78,77,19.8,66.3,6.26,62.7,tomato,hill
86,72,77,15.4,69.9,6.55,37.7,cauliflower,hill
87,41,44,26.1,80.3,6.45,214.9,rice,terai
90,56,40,24.2,79.6,6.28,184,rice,hill
97,38,36,28.3,86,6.83,246.3,rice,terai
78,45,18,24.3,66.7,6.2,88.8,maize,hill
80,46,23,25.2,66.3,6.47,104.2,maize,terai
63,54,36,15.8,56.1,6.69,36.4,wheat,terai
64,52,29,11.7,52.2,6.27,35.2,wheat,hill
42,38,24,14.3,50,6.34,29.3,mustard,terai
38,35,24,12.4,46.2,6.36,33.3,mustard,hill
71,67,88,13.2,63.3,5.58,52,potato,hill
85,72,87,15.6,63.5,5.88,47.2,potato,terai
66,57,82,8.2,53.3,5.52,39.9,potato,mountain
38,29,25,7.4,42.4,5.59,23.5,barley,mountain
26,29,22,6.2,46.6,5.54,23.3,buckwheat,mountain
20,59,33,17,54.7,6.7,37.6,lentil,terai
19,67,27,16.9,51.8,7.17,32.2,chickpea,terai
73,44,53,22.9,76.9,5.9,178.5,ginger,hill
56,37,57,18.9,81.8,5.22,217.1,cardamom,hill
93,74,76,21.4,63.4,6.31,71.1,tomato,hill
84,69,73,16.9,66,6.7,45.4,cauliflower,hill
92,45,43,26.8,82.6,6.66,225.2,rice,terai
85,57,40,25.1,81.4,6.29,187.8,rice,hill
93,39,37,29.1,85.7,6.77,241.5,rice,terai
83,45,19,23.7,66.2,6.01,100,maize,hill
80,45,24,26.2,69.6,6.31,105.4,maize,terai
67,49,34,15.1,53.4,6.79,29.1,wheat,terai
63,45,29,11.7,52.5,6.48,40.4,wheat,hill
45,43,24,14.7,49,6.46,23.8,mustard,terai
38,37,21,11.3,46.4,6.04,34.4,mustard,hill
80,68,89,12.1,60.9,5.47,47.9,potato,hill
81,67,91,16.5,65.7,5.96,49.5,potato,terai
64,52,84,9.5,54.9,5.6,37.2,potato,mountain
31,32,24,5.5,41.9,5.32,30,barley,mountain
32,24,16,6.9,44.9,5.33,26.5,buckwheat,mountain
18,61,29,16,54.2,6.9,35.7,lentil,terai
20,61,26,17,52.5,7.1,21,chickpea,terai
72,48,47,23,78.5,5.97,182,ginger,hill
58,42,58,17.8,80.6,5.11,208,cardamom,hill
92,71,77,20.6,65.1,6.33,65.1,tomato,hill
83,68,72,15.7,69.3,6.51,44.1,cauliflower,hill
86,41,45,27.5,80.5,6.4,227.7,rice,terai
86,59,40,25.1,80.5,6.24,188.5,rice,hill
98,39,41,28,85.9,6.77,238.1,rice,terai
74,52,17,24.4,65.8,6.3,93.1,maize,hill
84,46,23,26.7,66.5,6.62,106.1,maize,terai
65,49,36,14.4,53.7,6.92,28.4,wheat,terai
63,47,30,13.2,52.6,6.46,37.4,wheat,hill
44,39,24,15.1,50.7,6.33,18,mustard,terai
38,39,25,11.8,49.6,6.02,30.2,mustard,hill
73,64,89,12,63.1,5.59,61.6,potato,hill
82,69,89,17,63.2,5.95,47.4,potato,terai
68,53,76,7.9,55,5.5,38.1,potato,mountain
31,24,23,7.1,41.5,5.64,21.9,barley,mountain
29,23,17,7.2,45,5.24,33.9,buckwheat,mountain
17,64,27,16.4,55,6.85,29.5,lentil,terai
18,66,27,17.9,52.4,7,35.1,chickpea,terai
71,42,47,24.4,79.6,5.8,178.7,ginger,hill
55,43,62,18.6,80.1,5.2,210.6,cardamom,hill
90,73,82,19.9,63.7,6.27,62.4,tomato,hill
83,67,78,16.5,70,6.47,52.3,cauliflower,hill
87,44,42,26.1,81.3,6.44,216.6,rice,terai
82,61,42,24.7,80.6,6.31,191.8,rice,hill
93,36,38,28.9,86,6.91,241.1,rice,terai
77,44,21,23.8,66.6,6.32,94,maize,hill
85,45,21,26.5,69.7,6.51,106.8,maize,terai
67,50,35,14.8,54.6,6.93,30.6,wheat,terai
64,51,31,12.2,52.3,6.49,49.2,wheat,hill
46,40,25,14.7,51.4,6.39,20.5,mustard,terai
36,35,21,11.7,48.9,6.3,31.5,mustard,hill
71,64,83,13.2,60.5,5.78,61.4,potato,hill
81,68,90,15.7,66.5,5.85,50.1,potato,terai
65,56,79,7.8,56.3,5.45,29.4,potato,mountain
39,27,24,5.6,43.6,5.35,30.2,barley,mountain
31,27,21,6.6,45.8,5.3,21.3,buckwheat,mountain
15,64,29,16.4,53.3,6.7,28.4,lentil,terai
18,65,25,18.2,52.1,6.94,22,chickpea,terai
68,42,46,23.2,79.8,6,186.7,ginger,hill
53,44,60,17.5,83.9,5.33,208.5,cardamom,hill
88,71,82,19.6,63.9,6.51,66.5,tomato,hill
88,69,76,16.5,66.4,6.53,46.1,cauliflower,hill
92,44,43,25.9,82.5,6.34,224.3,rice,terai
81,57,43,24,78.8,6.12,191.3,rice,hill
96,44,34,27.2,83.6,6.68,241,rice,terai
82,50,21,24.3,66,6.24,99.2,maize,hill
80,42,18,25.9,69.5,6.37,110.9,maize,terai
61,50,34,14.8,56.7,6.64,40.4,wheat,terai
61,50,36,13.2,52.9,6.57,39,wheat,hill
48,37,24,14.3,51.8,6.42,18.8,mustard,terai
38,42,20,11.4,49.5,6.26,31.4,mustard,hill
75,68,86,12.8,60.5,5.53,61.1,potato,hill
77,72,92,16.5,66.9,5.83,44,potato,terai
69,54,83,9.2,56.1,5.42,37.4,potato,mountain
38,28,28,7.4,42.7,5.35,17.6,barley,mountain
34,24,18,6.7,43.3,5.3,26.5,buckwheat,mountain
21,61,28,15.4,55.7,6.74,26.8,lentil,terai
21,65,30,17.7,50.1,7.03,21.5,chickpea,terai
72,49,52,23.1,78.8,5.88,186.9,ginger,hill
51,43,58,17.4,82.6,5.28,213.8,cardamom,hill
94,77,81,19.8,66.5,6.3,69.4,tomato,hill
89,68,72,16.4,67.4,6.4,40.6,cauliflower,hill
89,38,39,27.4,82,6.53,214.7,rice,terai
81,61,42,25.1,80.7,6.32,180.3,rice,hill
93,41,38,28.2,85.1,6.89,236.1,rice,terai
77,52,23,24.7,65.8,6.17,94,maize,hill
82,48,18,25.7,68.8,6.69,106.2,maize,terai
69,54,33,14.5,54.2,6.7,30.5,wheat,terai
59,46,30,13,53.8,6.27,35,wheat,hill
46,38,25,14.5,50.1,6.51,29.2,mustard,terai
41,38,22,11.8,49.3,6.16,23.4,mustard,hill
71,64,88,13.1,63.1,5.69,60.4,potato,hill
79,73,88,15.9,65.6,6.1,43.9,potato,terai
62,57,80,9.1,53.8,5.58,30.5,potato,mountain
36,30,26,6.5,40,5.69,23.6,barley,mountain
31,24,23,6.8,43.7,5.42,23.8,buckwheat,mountain
20,60,29,16.2,54.1,6.86,26.9,lentil,terai
25,66,25,17.4,51.2,6.96,26.1,chickpea,terai
68,42,52,22.8,78.6,5.94,177.1,ginger,hill
50,39,61,18.8,80.4,5.25,207.4,cardamom,hill
88,72,77,20.7,64.6,6.39,63.4,tomato,hill
83,67,74,15.3,67.6,6.42,37.9,cauliflower,hill
89,42,45,26.5,83.6,6.33,220,rice,terai
87,59,42,24.6,81.7,6.11,178.5,rice,hill
93,44,40,28.2,84.2,6.99,240,rice,terai
82,46,23,24.2,66.1,6.25,95.1,maize,hill
78,46,25,26.7,66.9,6.48,107.9,maize,terai
61,51,34,14.4,56.2,6.98,33.4,wheat,terai
56,47,36,12,52.7,6.54,36.4,wheat,hill
45,36,27,13.5,48.1,6.69,25,mustard,terai
36,41,25,11.7,48.1,6.21,33.7,mustard,hill
74,63,85,13,63.8,5.61,48.3,potato,hill
81,68,86,16.1,64.9,5.81,38.9,potato,terai
70,52,80,7.6,54,5.39,39.8,potato,mountain
36,29,22,7,41.4,5.32,32,barley,mountain
29,24,22,6.9,45.4,5.3,33.8,buckwheat,mountain
19,60,31,16.2,55.3,6.9,39,lentil,terai
20,65,25,18.2,50.2,7.17,26.1,chickpea,terai
70,48,47,23.4,77,5.68,176.9,ginger,hill
52,39,58,18.7,83.8,5.34,204.5,cardamom,hill
86,72,76,19.8,66.1,6.36,67.5,tomato,hill
87,70,78,15.6,69.6,6.7,42.1,cauliflower,hill
94,43,41,27.5,82.5,6.52,217.9,rice,terai
86,56,41,24.4,82.2,6.36,189.8,rice,hill
91,40,38,28.3,86.2,7,243.1,rice,terai
76,51,23,23.5,67.3,6.3,101.1,maize,hill
79,47,23,26.1,68.2,6.46,111.4,maize,terai
62,54,35,14.5,54.8,6.63,31.8,wheat,terai
65,44,32,13.1,51.2,6.26,36.9,wheat,hill
40,37,25,15.5,51.6,6.42,21.9,mustard,terai
39,37,18,11.7,46.8,6.28,30.3,mustard,hill
76,66,83,13.7,62.2,5.68,57.6,potato,hill
82,71,91,16.3,66.6,5.83,43.6,potato,terai
64,52,81,8.2,56.7,5.55,39,potato,mountain
34,25,27,7.1,42.4,5.39,29.4,barley,mountain
31,24,21,7.6,45.8,5.4,24.8,buckwheat,mountain
18,63,26,16.5,56.2,6.8,28.5,lentil,terai
26,65,26,17.9,52,6.97,24.2,chickpea,terai
69,47,49,24.3,76.6,5.77,175.3,ginger,hill
51,40,63,17.6,82.5,5,207.6,cardamom,hill
87,72,78,20,64,6.51,68.2,tomato,hill
84,71,75,15.4,67.3,6.37,40.4,cauliflower,hill
86,46,47,26.3,83.5,6.54,223.5,rice,terai
87,57,43,23.9,80.9,6.23,190.4,rice,hill
91,43,38,29.1,85.6,6.73,232.7,rice,terai
76,47,20,24.4,65.9,6.35,92.5,maize,hill
80,47,24,25.3,67.8,6.37,110.2,maize,terai
68,53,32,15.9,53.3,6.85,40.5,wheat,terai
63,49,30,11.6,53,6.36,42,wheat,hill
50,44,29,14,48.4,6.58,24.1,mustard,terai
37,37,24,12.2,47.1,6.24,25.9,mustard,hill
76,67,84,13.2,60.3,5.74,58.5,potato,hill
79,71,91,15.6,66.5,6.05,38.7,potato,terai
68,52,78,8.5,53.8,5.53,39,potato,mountain
35,29,28,6.3,42.8,5.67,31.7,barley,mountain
33,28,20,7,46,5.36,30.5,buckwheat,mountain
21,63,28,16.6,56.6,6.83,28.5,lentil,terai
26,65,28,17.1,50.6,6.88,25.2,chickpea,terai
69,42,52,24.4,77.1,5.89,182.3,ginger,hill
53,40,61,17.8,83.5,5.18,205.5,cardamom,hill
85,74,76,19.9,66.2,6.54,64.5,tomato,hill
80,72,76,16.4,69.3,6.34,47,cauliflower,hill
95,44,45,27,80.9,6.68,214.5,rice,terai
82,62,43,25.2,81.6,6.2,187.1,rice,hill
94,40,37,28.5,85.7,6.98,236.5,rice,terai
81,49,18,24.3,67,6.32,93.6,maize,hill
81,45,21,25.6,69.6,6.52,114.3,maize,terai
70,53,38,14.7,54.7,6.93,36.8,wheat,terai
63,46,35,11.7,52.6,6.26,35.6,wheat,hill
47,38,26,14.3,51.2,6.3,23.3,mustard,terai
43,34,19,12.4,46.4,6.06,36.1,mustard,hill
76,65,83,13,61.8,5.62,61.3,potato,hill
76,68,88,17.5,63.2,5.84,52.3,potato,terai
63,56,76,8.8,56.4,5.27,37.1,potato,mountain
33,28,21,5.7,40.8,5.61,18,barley,mountain
32,23,23,6.4,43.7,5.24,33.1,buckwheat,mountain
23,60,29,15.9,54.2,6.75,31.2,lentil,terai
26,64,27,17.4,50.9,7.15,26.9,chickpea,terai
73,45,49,22.7,77,5.89,177.2,ginger,hill
52,43,60,19.1,82.5,5.31,203.2,cardamom,hill
90,74,78,21,65.4,6.31,68.1,tomato,hill
85,73,71,16,68.4,6.62,43.5,cauliflower,hill
92,39,45,26.7,83.1,6.64,223.4,rice,terai
83,55,39,23.9,80.1,6.12,186.2,rice,hill
92,42,34,28.3,83.5,6.83,243.5,rice,terai
76,48,23,25,65.6,6.2,100.8,maize,hill
79,47,21,25.3,69.1,6.66,110.9,maize,terai
64,50,36,14.9,53.3,6.66,37,wheat,terai
58,50,35,13.1,52.6,6.22,49,wheat,hill
40,41,27,14.2,48.2,6.58,19.8,mustard,terai
37,41,23,12.6,46.3,6.04,23,mustard,hill
76,66,82,12.7,61.8,5.45,56.2,potato,hill
79,67,91,16,63.3,5.84,37.6,potato,terai
62,56,77,9.5,54.1,5.46,41.8,potato,mountain
32,26,22,6.3,42.9,5.45,29.4,barley,mountain
29,28,24,6.3,43.2,5.58,20.6,buckwheat,mountain
20,57,34,16.3,56.2,6.96,31.3,lentil,terai
26,61,30,16.5,53.6,7.17,26.1,chickpea,terai
74,49,52,24.5,79,5.63,179.6,ginger,hill
50,37,63,18.2,80.8,5.05,212.1,cardamom,hill
85,73,83,20.3,63.7,6.42,68,tomato,hill
85,74,73,15.9,69.8,6.63,45.8,cauliflower,hill
90,42,41,25.9,83.3,6.36,221.5,rice,terai
82,59,43,25.4,81,6.04,190.2,rice,hill
93,41,38,27.2,86.1,6.71,237.5,rice,terai
74,45,23,23.6,66.4,6.11,101.7,maize,hill
78,49,21,26.8,68.3,6.66,112.4,maize,terai
63,50,39,14.8,54.4,6.99,37.4,wheat,terai
62,52,28,13.1,50.1,6.45,37.9,wheat,hill
49,37,24,14.9,51.1,6.41,21.2,mustard,terai
42,41,20,12.2,47.8,6.02,24.4,mustard,hill
73,61,87,12.4,62.2,5.44,57.9,potato,hill
77,73,89,17.3,66.8,6.01,45,potato,terai
67,55,83,9.2,56.3,5.25,31.3,potato,mountain
32,31,27,5.9,42.1,5.45,24.8,barley,mountain
29,24,21,7.6,44,5.3,22.1,buckwheat,mountain
18,61,27,15.7,56.8,6.69,36.6,lentil,terai
21,62,25,17.9,50.1,6.85,20.6,chickpea,terai
68,48,49,23.5,79.2,5.83,177.7,ginger,hill
54,42,64,17.5,80.9,5.36,202.7,cardamom,hill
92,71,80,21.2,65.8,6.56,70.6,tomato,hill
82,66,76,16.1,69.3,6.67,42.2,cauliflower,hill
90,43,42,26.9,83.2,6.37,221.3,rice,terai
86,61,40,24,79,6.09,180.8,rice,hill
99,37,38,28.9,84.4,6.76,238.6,rice,terai
77,49,21,23.8,64,6.13,94.8,maize,hill
82,47,21,25.2,69.1,6.46,109.8,maize,terai
65,50,32,16,54.1,6.89,30,wheat,terai
62,51,32,13.4,51.7,6.28,42.8,wheat,hill
46,42,25,15,51.6,6.42,22.6,mustard,terai
40,38,26,12.3,48.2,6.06,34.7,mustard,hill
75,65,84,12.5,63.9,5.64,48.3,potato,hill
84,73,90,17,63.9,6.19,42.9,potato,terai
64,59,82,7.9,54,5.33,34.7,potato,mountain
33,32,26,7.2,43.4,5.37,24.2,barley,mountain
26,25,17,6.6,44.1,5.54,21.1,buckwheat,mountain
24,63,27,15.3,56.8,6.61,28.8,lentil,terai
22,61,27,16.8,52.8,7.06,31.8,chickpea,terai
70,43,46,24.2,77.1,5.97,177.1,ginger,hill
57,40,64,19.2,83.7,5.21,216.4,cardamom,hill
86,78,79,21.3,63.3,6.46,61.1,tomato,hill
80,67,74,16.9,67.4,6.62,47.6,cauliflower,hill
92,43,44,25.7,81.1,6.38,220.4,rice,terai
87,59,38,25,80.4,6.16,186.8,rice,hill
90,37,42,28.8,86,6.68,237.2,rice,terai
77,47,16,24.2,67.3,6.07,95,maize,hill
82,46,24,26.7,67.7,6.38,107.8,maize,terai
63,53,39,15.5,55.4,6.84,30.1,wheat,terai
64,51,32,12.8,50.3,6.35,48,wheat,hill
42,39,23,14.5,51.7,6.6,24.7,mustard,terai
41,38,20,12,46.1,6.32,30.6,mustard,hill
75,69,82,12.1,63.4,5.63,50.9,potato,hill
77,69,89,16.3,64.5,5.87,52.2,potato,terai
63,54,82,8.4,55.5,5.47,38.2,potato,mountain
35,26,28,7.2,40.7,5.52,23,barley,mountain
29,24,18,6.6,46.2,5.52,29.6,buckwheat,mountain
20,57,31,16,53.1,6.82,30.1,lentil,terai
25,66,28,16.6,52,6.9,32.3,chickpea,terai
71,43,50,22.7,79,5.83,174.1,ginger,hill
55,41,60,18.3,83.4,5.07,215,cardamom,hill
93,75,82,21.1,63.4,6.56,57.6,tomato,hill
81,67,74,15.7,68.8,6.39,43.5,cauliflower,hill
93,43,44,27.3,81.6,6.38,223.4,rice,terai
89,56,43,25.6,81.8,6.13,186.3,rice,hill
95,38,35,28.5,85.6,6.94,235.5,rice,terai
75,50,23,24.4,66.6,6.19,91,maize,hill
81,47,25,25.9,67.8,6.31,115.7,maize,terai
69,54,35,14.8,56.2,6.69,36.5,wheat,terai
61,48,29,12.5,52.5,6.59,43.9,wheat,hill
50,37,22,14.8,48.5,6.47,17.9,mustard,terai
45,36,23,11.1,49.6,6.14,29.1,mustard,hill
72,63,84,12.7,60.6,5.78,52.1,potato,hill
77,73,91,15.5,65.3,5.81,49.4,potato,terai
61,54,82,9.1,56.9,5.54,39.8,potato,mountain
36,31,24,6.2,40.1,5.47,18.8,barley,mountain
33,27,21,7.3,46.1,5.3,32.9,buckwheat,mountain
24,62,29,16.7,53.1,6.76,24.5,lentil,terai
18,68,31,18.4,53.8,6.96,30.9,chickpea,terai
71,45,46,22.7,76.1,5.99,186.1,ginger,hill
50,41,63,18.7,81.9,5.21,205.2,cardamom,hill
92,77,81,20.4,66.8,6.36,68.8,tomato,hill
83,68,71,16.5,67.4,6.35,44.9,cauliflower,hill
85,41,45,26.3,81.6,6.59,219.8,rice,terai
85,57,38,24.3,82.1,6.18,186.5,rice,hill
92,37,37,28.7,83.5,6.79,236.8,rice,terai
73,47,21,23.9,66.8,6.28,94.6,maize,hill
85,47,24,25.6,69.6,6.44,114.8,maize,terai
68,51,37,15,54,6.71,42.1,wheat,terai
56,49,28,13.5,50.5,6.59,44.3,wheat,hill
42,40,27,14.1,50.1,6.54,20.4,mustard,terai
42,35,23,12.8,49.6,6.15,37.3,mustard,hill
72,63,83,12.6,61.6,5.54,55,potato,hill
82,67,91,17.1,66.4,6,45.2,potato,terai
70,51,84,9.4,53.6,5.36,31.2,potato,mountain
34,24,22,6.6,42.9,5.56,21.6,barley,mountain
30,26,20,6.5,44.5,5.34,23.9,buckwheat,mountain
17,61,27,16.9,53.3,6.89,34.6,lentil,terai
26,69,30,17.7,52.3,6.95,27.2,chickpea,terai
69,47,47,23.5,76.1,5.93,173.5,ginger,hill
53,44,64,17.5,82.9,5.03,213.8,cardamom,hill
91,75,84,20.6,64.5,6.31,68.1,tomato,hill
89,74,71,16.7,67,6.47,47.2,cauliflower,hill
87,43,41,25.5,80.4,6.56,227.6,rice,terai
85,54,38,23.9,79.5,6.28,189.9,rice,hill
95,43,40,29.1,84,6.89,240.1,rice,terai
76,47,24,24.7,63.7,6.08,93,maize,hill
83,47,24,26.4,66.1,6.5,110.9,maize,terai
64,52,37,15.8,56,6.96,28.3,wheat,terai
63,50,32,12.3,53.2,6.28,47,wheat,hill
44,41,25,13.9,50.6,6.4,24,mustard,terai
38,38,23,12.3,47.2,6.14,31.8,mustard,hill
77,63,85,13.5,63.5,5.65,59.5,potato,hill
82,73,88,16.5,66.6,5.9,44.2,potato,terai
63,57,81,8.6,56.5,5.24,38.1,potato,mountain
38,24,28,6.7,42.9,5.48,23.7,barley,mountain
31,23,16,8.2,47,5.37,24.9,buckwheat,mountain
18,64,29,15.3,53.6,6.61,29.1,lentil,terai
18,62,28,18.1,51.5,7.04,27,chickpea,terai
74,48,53,22.6,76.8,5.73,175,ginger,hill
57,41,60,19.1,82.6,5.16,216.3,cardamom,hill
86,73,79,21.2,64.1,6.51,63.5,tomato,hill
88,67,75,16.8,67.7,6.55,50.2,cauliflower,hill
91,45,47,26.9,81.1,6.59,226.5,rice,terai
82,56,44,25,79.6,6.02,186.3,rice,hill
99,44,35,29.2,85.2,6.71,235.3,rice,terai
76,51,23,25,63.8,6.05,96,maize,hill
81,47,20,25.9,68.3,6.65,104.7,maize,terai
69,50,34,15.5,53.6,6.81,38.4,wheat,terai
64,51,28,13.3,53.9,6.38,41,wheat,hill
48,40,22,14.3,51,6.59,22.8,mustard,terai
42,41,25,11.1,48.3,6.05,22.8,mustard,hill
71,66,83,12.4,61.8,5.68,60,potato,hill
77,72,89,15.8,66.9,5.9,40.7,potato,terai
70,51,78,8,56.4,5.4,40,potato,mountain
38,31,27,6.5,42.8,5.44,29,barley,mountain
35,24,17,6.5,46.4,5.55,34.9,buckwheat,mountain
23,57,33,16,56,6.78,29.9,lentil,terai
19,66,29,16.6,53.2,6.86,22.7,chickpea,terai
68,48,54,23.2,76.6,5.85,181.9,ginger,hill
52,42,59,18.9,82.1,5.16,204.8,cardamom,hill
91,75,78,21,66.6,6.54,66.6,tomato,hill
90,71,79,15.5,66.5,6.52,51.4,cauliflower,hill
88,43,46,26.9,83.3,6.67,222.8,rice,terai
80,58,44,24.8,82.2,6.29,185.8,rice,hill
92,37,36,28.1,85.3,6.73,235.2,rice,terai
79,47,19,24.3,64.5,6.06,90.4,maize,hill
82,42,26,25.1,66.9,6.31,105,maize,terai
65,54,38,14.9,53.4,6.77,35.8,wheat,terai
57,46,30,12.7,51.3,6.25,40.1,wheat,hill
44,40,22,13.6,48.3,6.64,19.9,mustard,terai
37,39,23,12.4,49.5,6.12,34.6,mustard,hill
76,63,82,12.5,63.2,5.74,60.1,potato,hill
76,69,92,16.9,64.8,6,39.1,potato,terai
62,55,78,7.7,56,5.5,35.7,potato,mountain
32,27,24,6.8,40.4,5.46,30.4,barley,mountain
32,25,18,6.4,44.7,5.49,22,buckwheat,mountain
18,59,28,16,54.3,6.89,32.5,lentil,terai
27,68,28,16.6,52.6,6.99,30.5,chickpea,terai
72,47,52,23.7,76.8,5.76,187.3,ginger,hill
58,43,56,18.3,83.8,5.02,214.8,cardamom,hill
93,76,77,20.5,64.1,6.46,66.2,tomato,hill
81,74,75,15.8,70,6.49,37.6,cauliflower,hill
87,44,41,26.3,81.8,6.65,216.7,rice,terai
82,55,37,24.4,80.8,6.27,182.2,rice,hill
90,42,34,27.6,85.6,6.9,237.4,rice,terai
81,47,22,23.8,66.8,6.37,89.1,maize,hill
78,44,21,25.2,69.9,6.32,115.4,maize,terai
60,53,39,14.4,55.9,6.99,37.6,wheat,terai
56,49,30,11.8,50.5,6.26,47.9,wheat,hill
40,40,27,15.4,51.3,6.34,21.2,mustard,terai
42,38,24,12.7,49.6,6.21,24.5,mustard,hill
80,63,87,12.3,63,5.65,49.9,potato,hill
84,68,94,16.2,65.5,5.91,48.3,potato,terai
60,55,84,8.4,55.6,5.52,33.2,potato,mountain
32,32,26,7.3,40.3,5.69,21.4,barley,mountain
31,22,18,8,45.4,5.5,22.5,buckwheat,mountain
17,56,31,15.3,54.3,6.83,37.6,lentil,terai
20,65,29,16.8,51.5,6.88,30.2,chickpea,terai
69,47,47,22.9,78.9,5.86,173.8,ginger,hill
51,39,58,17.8,82.7,5,211.7,cardamom,hill
85,76,82,19.8,65,6.49,64,tomato,hill
81,74,76,16.5,67.6,6.5,45.2,cauliflower,hill
88,41,41,27.1,81.9,6.49,225.6,rice,terai
81,56,43,24.4,81.5,6.18,192.4,rice,hill
96,38,40,28,86.7,6.76,233,rice,terai
77,48,22,23.7,63.4,6.34,91.3,maize,hill
78,43,20,25.5,69.4,6.44,103.9,maize,terai
60,55,38,14.9,56.5,6.72,36.2,wheat,terai
61,46,33,12.6,50.2,6.38,44.6,wheat,hill
41,41,27,14.4,48.5,6.37,24.9,mustard,terai
41,40,22,12.4,46.2,6.17,22.6,mustard,hill
70,63,83,12.4,62.9,5.43,56.2,potato,hill
84,73,89,16.6,63.6,5.95,42,potato,terai
66,56,81,7.9,55.4,5.47,30.5,potato,mountain
